Rank,University,Location,Country,Overall Score
1,Massachusetts Institute of Technology (MIT),Cambridge, United States,100
4,Harvard University,Cambridge, United States,98.3
5,Stanford University,Stanford, United States,98.1
10,University of California Berkeley (UCB),Berkeley, United States,90.4
11,University of Chicago,Chicago, United States,90.3
12,University of Pennsylvania,Philadelphia, United States,89.4
13,Cornell University,Ithaca, United States,89.3
15,California Institute of Technology (Caltech),Pasadena, United States,87.8
16,Yale University,New Haven, United States,87.7
17,Princeton University,Princeton, United States,87
23,Columbia University,New York City, United States,85.9
28,Johns Hopkins University,Baltimore, United States,84.5
29,University of California Los Angeles (UCLA),Los Angeles, United States,83.8
33,University of Michigan-Ann Arbor,Ann Arbor, United States,81.7
38,New York University (NYU),New York City, United States,79.5
47,Northwestern University,Evanston, United States,76.2