Name,Lab,Stipend,Source
Harvard University,Paul Avillach,5583,https://postdoc.hms.harvard.edu/guidelines
Harvard University,Maha Farhat,5583,https://postdoc.hms.harvard.edu/guidelines
Harvard University,Nils Gehlenborg,5583,https://postdoc.hms.harvard.edu/guidelines
Harvard University,Isaac Kohane,5583,https://postdoc.hms.harvard.edu/guidelines
Harvard University,Heng Li,5583,https://postdoc.hms.harvard.edu/guidelines
Harvard University,Arjun (Raj) Manraj,5583,https://postdoc.hms.harvard.edu/guidelines
Harvard University,Luke O'Connor,5583,https://postdoc.hms.harvard.edu/guidelines
Harvard University,Peter Park,5583,https://postdoc.hms.harvard.edu/guidelines
Harvard University,Chirag Patel,5583,https://postdoc.hms.harvard.edu/guidelines
Harvard University,Pranav Rajpurkar,5583,https://postdoc.hms.harvard.edu/guidelines
Harvard University,Shamil Sunyaev,5583,https://postdoc.hms.harvard.edu/guidelines
Harvard University,Kun-Hsing Yu,5583,https://postdoc.hms.harvard.edu/guidelines
Harvard University,Marinka Zitnik,5583,https://postdoc.hms.harvard.edu/guidelines
Harvard University,Soumya Raychaudhuri,5583,https://postdoc.hms.harvard.edu/guidelines
Harvard University,Griffin Weber,5583,https://postdoc.hms.harvard.edu/guidelines
Harvard University,Gabriel Brat,5583,https://postdoc.hms.harvard.edu/guidelines
Harvard University,Vesela Kovacheva,5583,https://postdoc.hms.harvard.edu/guidelines
Harvard University,Richa Saxena,5583,https://postdoc.hms.harvard.edu/guidelines
Harvard University,John Quackenbush,5583,https://postdoc.hms.harvard.edu/guidelines
University of Washington,Kathryn Gray,5459,https://hr.uw.edu/labor/academic-and-student-unions/uaw-postdocs/uaw-postdoc-contract
Stanford University,Nima Aghaeepour,5971,https://postdocs.stanford.edu/funding-rates-and-guidelines
University of California Los Angeles (UCLA),Ryan Urbanowicz,5556,https://www.linkedin.com/jobs/view/3858677693/?refId=6db21a9d-2c53-49b1-bc6b-aa14fc3ef3c5&trackingId=SKOIMxfZTSKIaBp8v5iUcw%3D%3D
Columbia University,Tal Korem,5921,https://provost.columbia.edu/news/2024-25-salary-guidelines-officers-research
University of Pennsylvania,Konrad Kording,5084,https://research.upenn.edu/news/new-minimum-stipend-levels-for-postdoctoral-researchers-for-fy2025/
University of Chicago,Sarosh Rana,5541,https://bsdpostdoc.uchicago.edu/resources/current-postdocs/policies-and-benefits/
University of Colorado Boulder,Casey Greene,5084,https://www.cuanschutz.edu/offices/postdoc/postdocs/current-postdocs#ac-salary-benefits-and-student-loan-deferment-2